words\files;Suspense;NonSuspense;;;
1799;0.444444444444;;;;
абажур;0.444444444444;;предмет;;
авось;;0.377073906486;восклицание;;
адрес;0.444444444444;;абстрактный;;
адриан;4.0;;имя;;
акушерка;0.444444444444;;профессия;;
алексис;;0.377073906486;имя;;
алина;;0.377073906486;имя;;
аллегория;;0.377073906486;абстрактный;;
аллея;;1.13122171946;место;;
алый;0.444444444444;;описание;;
альманах;;0.377073906486;предмет;;
амбарчик;;0.377073906486;место;;
ампула;0.444444444444;;предмет;;
ампутация;1.33333333333;;абстрактный;;
анатомический;0.444444444444;;описание;;
антоновка;;0.754147812971;предмет;;
антоновский;;0.754147812971;описание;;
аристократически;;0.377073906486;описание;;
арсений;;0.377073906486;имя;;
арсения;;0.377073906486;имя;;
артериа;0.888888888889;;предмет;;
ах;1.77777777778;;восклицание;;
баба;0.888888888889;;профессия;;
бабочка;;0.377073906486;предмет;;
бабушка;;0.377073906486;профессия;;
бал;0.444444444444;;место;;
баня;0.444444444444;;место;;
барабан;;1.50829562594;предмет;;
баранина;;0.377073906486;предмет;;
барин;;1.88536953243;профессия;;
баритон;;0.377073906486;абстрактный;;
барский;;0.377073906486;описание;;
бархатный;;0.377073906486;описание;;
барчук;;0.377073906486;профессия;;
барыня;;0.377073906486;профессия;;
бас;;0.377073906486;абстрактный;;
батюшка;0.444444444444;;профессия;;
батюшков;;0.377073906486;имя;;
бегать;;0.377073906486;действие;;
беда;;0.377073906486;абстрактный;;
бедный;0.444444444444;;описание;;
бедняк;0.444444444444;;профессия;;
бедро;0.888888888889;;предмет;;
без;2.66666666667;;стоп;;
безжизненно;0.444444444444;;описание;;
безжизненный;0.444444444444;;описание;;
беззвучный;0.444444444444;;описание;;
безмолвный;;0.377073906486;описание;;
безнадежно;;0.377073906486;описание;;
безоружный;0.444444444444;;описание;;
безрукавка;;0.377073906486;предмет;;
безумный;0.888888888889;;описание;;
белеть;;0.377073906486;действие;;
беловатый;0.444444444444;;описание;;
бель;;0.377073906486;профессия;;
береза;;0.377073906486;предмет;;
березовый;;0.377073906486;описание;;
беременный;;0.377073906486;описание;;
беречь;;0.377073906486;действие;;
беседа;;0.377073906486;абстрактный;;
бесконечный;;0.377073906486;описание;;
беспомощно;0.444444444444;;описание;;
беспорядочно;;0.377073906486;описание;;
бешеный;;0.377073906486;описание;;
билет;0.444444444444;;предмет;;
бирюзов;;0.377073906486;имя;;
биться;0.888888888889;;действие;;
битюг;;0.377073906486;предмет;;
благо;;0.377073906486;абстрактный;;
благовест;;0.377073906486;абстрактный;;
благополучие;;0.377073906486;абстрактный;;
благополучно;0.888888888889;;описание;;
благопристойный;0.444444444444;;описание;;
блеск;;0.377073906486;абстрактный;;
блестеть;;0.754147812971;описание;;
близкий;0.444444444444;;описание;;
блистать;;0.377073906486;действие;;
богатый;;0.754147812971;описание;;
богу;0.444444444444;;предмет;;
бодрый;;0.377073906486;описание;;
бойкий;;0.377073906486;описание;;
бойко;;0.377073906486;описание;;
бок;;0.754147812971;предмет;;
боковой;0.444444444444;;описание;;
более;;0.377073906486;стоп;;
боль;0.444444444444;;абстрактный;;
больше;0.444444444444;;стоп;;
борзая;;1.13122171946;предмет;;
боровинка;;0.377073906486;предмет;;
борода;0.888888888889;;предмет;;
бородатый;;0.377073906486;описание;;
бороться;0.444444444444;;действие;;
босой;;0.377073906486;описание;;
ботфорт;0.444444444444;;предмет;;
бочка;;0.377073906486;предмет;;
бояться;;0.377073906486;действие;;
брага;;0.377073906486;предмет;;
бревно;;0.377073906486;предмет;;
бригадир;0.888888888889;;профессия;;
бриллиантовый;;0.377073906486;описание;;
бродить;;0.377073906486;действие;;
бросаться;0.888888888889;;действие;;
брызги;0.444444444444;;предмет;;
бугор;0.444444444444;;предмет;;
бумажка;0.444444444444;;предмет;;
бумажный;0.444444444444;;описание;;
бурно;0.444444444444;;описание;;
буря;;0.377073906486;абстрактный;;
бывать;;0.377073906486;действие;;
важно;;0.754147812971;описание;;
важный;;0.377073906486;описание;;
вал;;0.377073906486;предмет;;
валяться;;0.377073906486;действие;;
вареный;;0.377073906486;описание;;
вариться;;0.377073906486;действие;;
ватага;;0.377073906486;абстрактный;;
ваш;3.55555555556;;стоп;;
вглядываться;0.444444444444;;действие;;
вдавливать;0.444444444444;;действие;;
вдали;;0.377073906486;описание;;
вдохновенно;0.888888888889;;описание;;
вдруг;3.11111111111;;стоп;;
ведь;0.444444444444;;стоп;;
веер;;0.377073906486;предмет;;
век;;0.377073906486;абстрактный;;
веко;0.444444444444;;предмет;;
велеть;0.444444444444;;действие;;
великолепный;;0.377073906486;описание;;
величина;;0.377073906486;абстрактный;;
вероятно;;0.754147812971;описание;;
верх;0.888888888889;;направление;;
верхний;;0.377073906486;описание;;
верховой;;0.377073906486;описание;;
верхом;0.444444444444;;описание;;
весело;;0.377073906486;описание;;
веселый;;1.50829562594;описание;;
вести;;0.377073906486;действие;;
ветвь;;0.754147812971;предмет;;
ветер;;2.6395173454;абстрактный;;
ветчина;;0.377073906486;предмет;;
веять;;0.377073906486;действие;;
взвиваться;;0.377073906486;действие;;
взвизгивать;0.444444444444;;действие;;
взмет;;0.754147812971;абстрактный;;
взреветь;0.444444444444;;действие;;
взяться;0.888888888889;;действие;;
вид;0.888888888889;;абстрактный;;
видимо;0.888888888889;;описание;;
видно;;0.377073906486;стоп;;
визг;;1.13122171946;абстрактный;;
визжать;0.444444444444;;действие;;
виктор;;0.377073906486;имя;;
виновато;;0.377073906486;описание;;
виноватый;;0.377073906486;описание;;
висеть;0.888888888889;;действие;;
витой;;0.377073906486;описание;;
вкладывать;0.444444444444;;действие;;
вкусный;;0.377073906486;описание;;
власть;0.444444444444;;абстрактный;;
вне;0.444444444444;;направление;;
внутренний;0.444444444444;;описание;;
вода;;0.377073906486;абстрактный;;
водить;;0.377073906486;действие;;
водка;;0.377073906486;предмет;;
возвращаться;;0.754147812971;действие;;
воздерживаться;0.444444444444;;действие;;
воздух;;1.13122171946;абстрактный;;
возить;;0.377073906486;действие;;
вознесение;0.444444444444;;абстрактный;;
возноситься;;0.754147812971;действие;;
возок;;0.377073906486;предмет;;
возражать;0.444444444444;;действие;;
вой;0.444444444444;;абстрактный;;
вокруг;;0.754147812971;направление;;
волна;0.888888888889;;предмет;;
волновать;;0.377073906486;действие;;
волноваться;;0.377073906486;действие;;
волос;0.888888888889;;предмет;;
вольтер;;0.377073906486;имя;;
волюшка;0.444444444444;;абстрактный;;
воображение;0.444444444444;;абстрактный;;
вооружать;0.444444444444;;действие;;
вор;0.444444444444;;профессия;;
воробей;;0.377073906486;предмет;;
воротиться;0.444444444444;;действие;;
ворох;;0.377073906486;предмет;;
восклицание;0.444444444444;;абстрактный;;
восковой;0.444444444444;;описание;;
впадина;;0.377073906486;предмет;;
вперед;0.888888888889;;направление;;
впереди;;0.377073906486;направление;;
впечатление;;0.377073906486;абстрактный;;
вполне;;0.377073906486;стоп;;
вприческа;;0.377073906486;стоп;;
впрыскивать;0.444444444444;;действие;;
враждебный;0.444444444444;;описание;;
вращаться;;0.377073906486;действие;;
всегда;;1.13122171946;стоп;;
вспенивать;;0.377073906486;действие;;
вспоминать;0.444444444444;;действие;;
вспоминаться;;0.377073906486;действие;;
вспомнить;;0.377073906486;действие;;
вспыхивать;0.444444444444;;действие;;
вставать;;1.13122171946;действие;;
вставлять;;0.377073906486;действие;;
встрепенуться;;0.377073906486;действие;;
встреча;0.444444444444;;абстрактный;;
вступаться;0.444444444444;;действие;;
второпях;0.444444444444;;описание;;
въезжать;;0.754147812971;действие;;
вы;3.11111111111;;стоп;;
выглядывать;;0.377073906486;действие;;
выдавать;0.888888888889;;действие;;
выделяться;;0.377073906486;действие;;
выжигать;;0.377073906486;действие;;
вынести;;0.377073906486;действие;;
вынимать;0.888888888889;;действие;;
выплывать;;0.377073906486;действие;;
вырисовываться;;0.377073906486;действие;;
вырубать;;0.377073906486;действие;;
вырыть;;0.377073906486;действие;;
высасывать;0.444444444444;;действие;;
выселки;;1.13122171946;место;;
выселок;;0.754147812971;место;;
выскакивать;;0.377073906486;действие;;
высовываться;0.444444444444;;действие;;
высоко;;0.377073906486;описание;;
выстреливать;1.33333333333;;действие;;
выступать;0.444444444444;;действие;;
вытекать;0.444444444444;;действие;;
вытирать;0.888888888889;;действие;;
вытягиваться;;0.377073906486;действие;;
вязать;0.444444444444;;действие;;
гадливый;0.444444444444;;описание;;
галка;;0.377073906486;предмет;;
гармоника;;0.377073906486;предмет;;
гвардия;0.888888888889;;предмет;;
герасимовна;;1.50829562594;имя;;
гигантский;0.888888888889;;описание;;
гикнуть;;0.377073906486;действие;;
гипс;0.444444444444;;предмет;;
гитара;;0.377073906486;предмет;;
глава;;0.377073906486;профессия;;
главное;0.444444444444;;описание;;
гладить;0.444444444444;;действие;;
глотать;;0.377073906486;действие;;
