words\files;Suspense;NonSuspense;Other;
пистолет;0.438212094654;0.0;0.0;
стоит;0.438212094654;0.0;0.0589553118736;
прошла;0.0;0.375939849624;0.0;
увидел;0.438212094654;0.0;0.0;
кожу;1.75284837862;0.0;0.117910623747;
стороны;2.19106047327;0.0;0.0589553118736;
узнал;0.438212094654;0.0;0.0;
человек;0.0;0.375939849624;0.0;
кому;0.0;0.375939849624;0.0;
мой;0.0;0.375939849624;0.0;
кольбера;0.0;0.751879699248;0.0589553118736;
нож;0.0;0.375939849624;0.0589553118736;
ловко;0.438212094654;0.0;0.0;
успел;0.0;0.375939849624;0.0;
ножом;0.0;0.375939849624;0.0;
свои;0.438212094654;0.0;0.0;
такие;1.31463628396;0.0;0.0;
пора;0.438212094654;0.0;0.0;
деревне;1.31463628396;0.375939849624;0.235821247494;
пахнет;0.0;1.12781954887;0.0;
далеко;0.0;0.751879699248;0.0;
замелькают;0.0;0.375939849624;0.0;
вся;0.0;0.375939849624;0.0589553118736;
выселках;0.0;0.375939849624;0.0;
мещанин;0.0;0.375939849624;0.117910623747;
ногами;0.0;0.375939849624;0.176865935621;
глазами;0.876424189308;0.0;0.0;
руках;1.75284837862;0.0;0.176865935621;
моя;0.438212094654;0.0;0.0589553118736;
голени;0.438212094654;0.0;0.0;
вдохновенно;0.0;0.375939849624;0.0;
остановился;0.0;0.375939849624;0.0;
увидит;0.438212094654;0.0;0.0589553118736;
ни;0.438212094654;0.0;0.0;
друга;0.0;1.12781954887;0.0;
взялся;0.0;0.375939849624;0.0;
рот;0.0;0.375939849624;0.0;
благополучно;0.0;1.12781954887;0.0;
лишь;0.0;0.375939849624;0.0;
упал;0.0;0.375939849624;0.0;
неужели;0.0;0.375939849624;0.0;
отставного;0.0;0.375939849624;0.0;
того;0.0;0.375939849624;0.0;
которую;0.0;0.375939849624;0.0589553118736;
муху;0.0;0.375939849624;0.0;
белые;0.0;0.375939849624;0.0;
ко;0.438212094654;0.0;0.294776559368;
углу;0.0;0.375939849624;0.0;
жива;0.0;0.375939849624;0.0589553118736;
словно;0.438212094654;0.0;0.0;
конец;0.0;0.375939849624;0.0;
мог;0.0;0.375939849624;0.0;
продолжал;0.438212094654;0.0;0.0589553118736;
писать;0.438212094654;0.0;0.0;
вынул;0.438212094654;0.0;0.0;
операционной;0.438212094654;0.0;0.0;
пот;0.876424189308;0.375939849624;0.0;
сосуды;0.438212094654;0.0;0.117910623747;
кто;2.62927256792;0.0;1.29701686122;
отвечал;0.438212094654;0.0;0.0;
кровь;0.438212094654;0.0;0.0;
подошел;0.438212094654;0.0;0.0;
придется;0.0;0.375939849624;0.0;
приближился;0.0;0.375939849624;0.0;
полковник;0.438212094654;0.0;0.0;
секунд;0.0;0.375939849624;0.0;
сержанта;0.438212094654;0.0;0.0;
гвардии;0.438212094654;0.0;0.0;
закричал;0.438212094654;0.0;0.0;
остались;0.0;0.375939849624;0.0;
полутруп;0.438212094654;0.0;0.0;
