words\files;Suspense;NonSuspense;Other;
10;0.0;0.0;0.0589553118736;
16;0.0;0.0;0.0589553118736;
17;0.0;0.0;0.117910623747;
1799;0.438212094654;0.0;0.0;
180;0.0;0.0;0.0589553118736;
1812;0.0;0.0;0.0589553118736;
1917;0.0;0.0;0.0589553118736;
1950;0.0;0.0;0.117910623747;
1956;0.0;0.0;0.0589553118736;
23;0.0;0.0;0.0589553118736;
24;0.0;0.0;0.176865935621;
25;0.0;0.0;0.117910623747;
aбaжур;0.0;0.0;0.117910623747;
aбaжурa;0.0;0.0;0.117910623747;
aбaжуром;0.0;0.0;0.0589553118736;
aвaнгaрдное;0.0;0.0;0.0589553118736;
aккурaтно;0.0;0.0;0.117910623747;
aмфору;0.0;0.0;0.0589553118736;
aнтичную;0.0;0.0;0.0589553118736;
aпельсинaми;0.0;0.0;0.0589553118736;
bonnet;0.0;0.0;0.0589553118736;
de;0.0;0.0;0.0589553118736;
honey;0.0;0.0;0.0589553118736;
maman;0.0;0.0;0.0589553118736;
moon;0.0;0.0;0.0589553118736;
natrii;0.0;0.0;0.0589553118736;
police;0.0;0.0;0.0589553118736;
rundleute;0.0;0.0;0.0589553118736;
salicilici;0.0;0.0;0.0589553118736;
the;0.0;0.0;0.0589553118736;
unserer;0.0;0.0;0.0589553118736;
xvii;0.0;0.0;0.0589553118736;
абажур;0.0;0.0;0.0589553118736;
абажуром;0.438212094654;0.0;0.0589553118736;
абсолютно;0.0;0.0;0.0589553118736;
август;0.0;0.0;0.0589553118736;
авось;0.0;0.375939849624;0.0;
автор;0.0;0.0;0.0589553118736;
автора;0.0;0.0;0.0589553118736;
агa;0.0;0.0;0.766419054357;
агафья;0.0;0.0;0.0589553118736;
ада;0.0;0.0;0.0589553118736;
адрес;0.438212094654;0.0;0.0;
адресованные;0.0;0.0;0.0589553118736;
адриан;1.75284837862;0.0;0.117910623747;
адриана;0.0;0.0;0.0589553118736;
адриану;2.19106047327;0.0;0.0589553118736;
адриян;0.0;0.0;0.530597806862;
адрияна;0.0;0.0;0.117910623747;
адского;0.0;0.0;0.0589553118736;
адской;0.0;0.0;0.0589553118736;
ай;0.0;0.0;0.0589553118736;
академии;0.0;0.0;0.0589553118736;
академию;0.0;0.0;0.117910623747;
аккурaтно;0.0;0.0;0.0589553118736;
аксиньи;0.0;0.0;0.0589553118736;
аксинья;0.0;0.0;0.176865935621;
акте;0.0;0.0;0.0589553118736;
актеров;0.0;0.0;0.0589553118736;
актеры;0.0;0.0;0.0589553118736;
актрисе;0.0;0.0;0.0589553118736;
актрису;0.0;0.0;0.0589553118736;
актрисы;0.0;0.0;0.0589553118736;
акулины;0.0;0.0;0.0589553118736;
акушерка;0.438212094654;0.0;0.0;
акушерок;0.0;0.0;0.0589553118736;
акции;0.0;0.0;0.117910623747;
акционерное;0.0;0.0;0.0589553118736;
александров;0.0;0.0;0.117910623747;
алексиса;0.0;0.375939849624;0.0;
алины;0.0;0.375939849624;0.0;
