words\files;Suspense;NonSuspense;Other;
1799;0.438212094654;0.0;0.0;
абажуром;0.438212094654;0.0;0.0589553118736;
авось;0.0;0.375939849624;0.0;
адрес;0.438212094654;0.0;0.0;
адриан;1.75284837862;0.0;0.117910623747;
адриану;2.19106047327;0.0;0.0589553118736;
акушерка;0.438212094654;0.0;0.0;
алексиса;0.0;0.375939849624;0.0;
алины;0.0;0.375939849624;0.0;
аллегория;0.0;0.375939849624;0.0;
аллее;0.0;0.751879699248;0.0589553118736;
аллеи;0.0;0.375939849624;0.0589553118736;
алое;0.438212094654;0.0;0.0;
альманахам;0.0;0.375939849624;0.0;
амбарчиках;0.0;0.375939849624;0.0;
ампулу;0.438212094654;0.0;0.0;
ампутацию;1.31463628396;0.0;0.0;
анатомического;0.438212094654;0.0;0.0;
анна;1.31463628396;0.375939849624;0.235821247494;
анны;0.0;1.12781954887;0.0;
антоновка;0.0;0.751879699248;0.0;
антоновские;0.0;0.375939849624;0.0;
антоновских;0.0;0.375939849624;0.0589553118736;
аристократически;0.0;0.375939849624;0.0;
арсений;0.0;0.375939849624;0.117910623747;
арсения;0.0;0.375939849624;0.176865935621;
артериа;0.876424189308;0.0;0.0;
ах;1.75284837862;0.0;0.176865935621;
баб;0.438212094654;0.0;0.0589553118736;
бабах;0.438212094654;0.0;0.0;
бабочка;0.0;0.375939849624;0.0;
бабушку;0.0;0.375939849624;0.0;
бале;0.438212094654;0.0;0.0589553118736;
бане;0.438212094654;0.0;0.0;
барабан;0.0;1.12781954887;0.0;
барабана;0.0;0.375939849624;0.0;
бараниной;0.0;0.375939849624;0.0;
барин;0.0;1.12781954887;0.0;
барином;0.0;0.375939849624;0.0;
барину;0.0;0.375939849624;0.0;
баритоном;0.0;0.375939849624;0.0;
барские;0.0;0.375939849624;0.0;
бархатных;0.0;0.375939849624;0.0;
барчук;0.0;0.375939849624;0.0589553118736;
барыня;0.0;0.375939849624;0.0;
басом;0.0;0.375939849624;0.0;
батюшка;0.438212094654;0.0;0.294776559368;
батюшкова;0.0;0.375939849624;0.0;
бегают;0.0;0.375939849624;0.0589553118736;
бегущего;0.438212094654;0.0;0.0;
бегущую;0.0;0.375939849624;0.0;
беда;0.0;0.375939849624;0.0;
бедный;0.438212094654;0.0;0.0589553118736;
