words\files;Suspense;NonSuspense;Other;
ли;0.444444444444;0.0;0.0;
яблоко;0.444444444444;0.0;0.415578247447;
тишина;0.0;0.377073906486;0.0;
около;0.444444444444;0.0;0.0;
фельдшер;4.0;0.0;0.178104963192;
мокрый;0.444444444444;0.0;0.0593683210639;
пинцет;0.0;0.377073906486;0.0;
мертвец;0.0;0.377073906486;0.0;
сильвио;0.0;0.377073906486;0.0;
подумать;0.0;1.13122171946;0.118736642128;
камфара;0.444444444444;0.0;0.0;
ах;0.0;0.377073906486;0.0;
уж;0.0;0.377073906486;0.0;
торзионный;0.444444444444;0.0;0.0;
сладкий;1.33333333333;0.0;0.0593683210639;
барабан;0.444444444444;0.0;0.0;
рига;1.33333333333;1.50829562594;0.237473284256;
мещанин;0.0;0.754147812971;0.0;
гумно;0.0;0.754147812971;0.0593683210639;
ловко;0.0;0.377073906486;0.0;
операционный;0.0;0.377073906486;0.118736642128;
спрашивать;0.0;0.377073906486;0.178104963192;
ужас;0.888888888889;0.0;0.0;
успевать;1.77777777778;0.0;0.178104963192;
сосуд;0.888888888889;0.0;0.118736642128;
капля;0.0;0.377073906486;0.0;
прострелить;0.0;0.377073906486;0.0;
николаевна;0.444444444444;0.0;0.0593683210639;
оставаться;0.444444444444;0.0;0.0;
нос;0.0;1.50829562594;0.0;
солома;0.0;0.377073906486;0.0;
низкий;0.0;1.88536953243;0.0;
помещик;0.0;0.377073906486;0.0;
вставать;0.0;0.377073906486;0.0;
солнечный;0.0;0.377073906486;0.0;
начинаться;0.0;0.377073906486;0.0593683210639;
низко;0.0;0.377073906486;0.0;
наступать;0.0;0.377073906486;0.0;
охотник;0.444444444444;0.0;0.356209926383;
сумерки;0.0;0.377073906486;0.0;
ну;0.0;0.377073906486;0.118736642128;
зверь;0.0;0.377073906486;0.0593683210639;
лениво;0.444444444444;0.0;0.415578247447;
облако;0.444444444444;0.0;0.0;
замелькать;0.888888888889;0.0;0.0;
сон;1.77777777778;0.754147812971;0.178104963192;
туча;2.66666666667;0.0;1.30610306341;
шум;0.444444444444;0.0;0.0;
самовар;0.444444444444;0.0;0.0;
деревня;0.444444444444;0.0;0.0;
ясный;0.0;0.377073906486;0.0;
медленно;0.0;0.377073906486;0.0;
густой;0.444444444444;0.0;0.0;
если;0.0;0.377073906486;0.0;
секретарь;0.888888888889;0.0;0.118736642128;
петрович;0.0;0.377073906486;0.0;
бедро;0.444444444444;0.0;0.0;
удивительно;2.66666666667;0.754147812971;0.653051531703;
неужели;0.0;0.377073906486;0.0;
повеса;0.0;0.377073906486;0.0;
змея;0.0;0.377073906486;0.0593683210639;
биться;0.0;0.377073906486;0.0;
остаток;0.0;0.377073906486;0.0593683210639;
лишь;0.0;0.377073906486;0.178104963192;
приближиваться;0.0;0.377073906486;0.0;
об;0.444444444444;0.0;0.0;
товарищ;0.0;0.377073906486;0.0;
отчаянно;0.0;0.377073906486;0.0593683210639;
шов;0.444444444444;0.0;0.0;
приятель;0.0;0.377073906486;0.0;
заметный;0.444444444444;0.377073906486;0.0;
причем;0.888888888889;0.0;0.0593683210639;
гигантский;0.0;0.377073906486;0.0;
сдавливать;0.0;0.377073906486;0.0593683210639;
схватывать;0.0;0.377073906486;0.0;
губа;0.0;0.377073906486;0.0;
ни;0.888888888889;0.0;0.0;
оглушать;0.444444444444;0.0;0.0;
прохоров;0.444444444444;1.13122171946;0.474946568511;
торчать;0.0;0.377073906486;0.0593683210639;
машинистка;0.0;0.754147812971;0.118736642128;
выдавать;0.444444444444;0.0;0.296841605319;
смысл;0.0;0.377073906486;0.0;
артериа;0.444444444444;0.754147812971;0.237473284256;
упасть;0.0;0.754147812971;0.415578247447;
ужасный;0.444444444444;0.0;0.0593683210639;
язык;0.0;0.377073906486;0.0593683210639;
указывать;0.0;0.377073906486;0.0;
москва;0.0;0.377073906486;0.0;
треть;0.0;0.754147812971;0.178104963192;
лукич;0.444444444444;0.0;0.237473284256;
благополучно;0.0;0.377073906486;0.474946568511;
молчать;0.444444444444;0.0;0.118736642128;
затем;0.444444444444;0.0;0.415578247447;
пойти;0.444444444444;1.13122171946;1.12799810021;
безумный;0.0;1.13122171946;0.0593683210639;
деревенский;0.0;0.377073906486;0.0;
путь;0.888888888889;0.0;0.0;
редкость;0.0;0.377073906486;0.0;
важно;0.444444444444;0.0;0.0;
кровать;0.0;0.377073906486;0.0593683210639;
богатый;0.444444444444;0.0;0.0;
урождаться;0.0;0.377073906486;0.0;
крепкий;0.0;0.377073906486;0.296841605319;
рама;0.0;0.377073906486;0.0;
общий;0.444444444444;0.377073906486;0.0;
овраг;0.444444444444;0.377073906486;0.237473284256;
убор;0.0;0.377073906486;0.0;
оковывать;0.888888888889;0.0;0.118736642128;
грустно;0.0;0.377073906486;0.0;
оно;0.0;0.377073906486;0.118736642128;
прочный;0.888888888889;0.0;0.356209926383;
стая;0.444444444444;0.0;0.0;
зелень;0.444444444444;0.0;0.0593683210639;
здоровый;0.888888888889;0.377073906486;0.712419852767;
вокруг;0.444444444444;0.754147812971;0.0593683210639;
выселок;0.444444444444;0.0;0.296841605319;
спешить;0.444444444444;0.0;0.0;
сосед;0.444444444444;0.0;0.0;
заживаться;0.444444444444;0.377073906486;0.0;
заря;0.0;0.377073906486;0.0;
подавальщик;2.66666666667;0.754147812971;1.72168131085;
дружный;0.888888888889;0.377073906486;0.296841605319;
кирпичный;0.0;0.377073906486;0.356209926383;
толпиться;1.33333333333;0.754147812971;0.237473284256;
про;16.0;6.03318250377;15.5545001187;
дуть;0.0;0.754147812971;0.0;
сухой;0.0;0.377073906486;0.0593683210639;
пестрый;0.0;0.377073906486;0.0593683210639;
ехать;0.0;0.377073906486;0.0;
погасать;0.0;0.377073906486;0.0;
молодой;0.0;0.377073906486;0.0;
новый;0.0;0.377073906486;0.0593683210639;
мягкий;3.55555555556;0.0;1.12799810021;
лай;0.444444444444;0.377073906486;0.118736642128;
мрачный;0.444444444444;0.0;0.0;
молельный;0.444444444444;0.0;0.0;
навстречу;0.0;0.377073906486;0.0;
мечта;0.888888888889;0.0;0.0593683210639;
накинуть;3.11111111111;0.0;1.54357634766;
флигель;0.444444444444;0.0;0.237473284256;
необыкновенно;0.0;0.377073906486;0.0;
мужик;0.0;0.377073906486;0.237473284256;
шаровары;0.444444444444;0.0;0.0;
блестеть;0.444444444444;0.0;0.237473284256;
здравый;0.0;0.377073906486;0.0593683210639;
подкашиваться;0.0;0.377073906486;0.0;
лохмы;0.0;0.754147812971;0.118736642128;
батюшка;0.444444444444;0.377073906486;0.178104963192;
подводный;0.888888888889;0.0;0.0593683210639;
небритый;0.0;0.377073906486;0.178104963192;
час;0.0;0.377073906486;0.0;
воздерживаться;0.444444444444;0.0;0.0593683210639;
лопнуть;0.0;0.377073906486;0.118736642128;
локоть;0.0;1.50829562594;0.118736642128;
гнев;0.0;0.377073906486;0.178104963192;
звено;6.66666666667;6.03318250377;3.6214675849;
подхлестывать;0.0;0.754147812971;0.0;
заупрямиться;0.0;2.6395173454;0.0;
поехать;0.444444444444;0.377073906486;0.0593683210639;
вор;0.0;0.377073906486;0.0;
пожаловать;0.888888888889;1.50829562594;1.00926145809;
затрещать;0.0;0.377073906486;0.0;
сбросить;0.0;0.377073906486;0.0;
пробивать;0.444444444444;0.0;0.0;
спазм;0.0;0.754147812971;0.0;
позвать;0.444444444444;0.0;0.0;
самостоятельность;0.444444444444;0.377073906486;1.06862977915;
стискивать;0.888888888889;0.0;0.237473284256;
стеклянный;0.888888888889;0.0;0.949893137022;
безжизненно;0.888888888889;0.754147812971;1.12799810021;
пестик;0.888888888889;0.0;0.593683210639;
немножко;0.0;0.377073906486;0.415578247447;
стыдиться;0.444444444444;0.754147812971;0.118736642128;
ступня;0.0;1.13122171946;0.118736642128;
домой;0.444444444444;0.0;0.0;
ступать;0.0;0.377073906486;0.0;
власть;0.0;0.377073906486;0.0;
пилить;0.0;0.377073906486;0.237473284256;
царапина;0.888888888889;0.0;0.237473284256;
извинять;0.0;0.377073906486;0.0;
иметься;0.444444444444;0.0;0.0593683210639;
мясник;0.0;0.377073906486;0.0;
просека;0.444444444444;0.0;0.118736642128;
изорвать;1.33333333333;1.50829562594;0.356209926383;
известие;0.444444444444;0.0;0.0;
сток;0.444444444444;0.0;0.0593683210639;
лоб;2.66666666667;2.26244343891;1.42483970553;
