words\files;Suspense;NonSuspense;Other;
1799;0.444444444444;0.0;0.0;
абажур;0.444444444444;0.0;0.415578247447;
авось;0.0;0.377073906486;0.0;
адрес;0.444444444444;0.0;0.0;
адриан;4.0;0.0;0.178104963192;
акушерка;0.444444444444;0.0;0.0593683210639;
алексис;0.0;0.377073906486;0.0;
алина;0.0;0.377073906486;0.0;
аллегория;0.0;0.377073906486;0.0;
аллея;0.0;1.13122171946;0.118736642128;
алый;0.444444444444;0.0;0.0;
альманах;0.0;0.377073906486;0.0;
амбарчик;0.0;0.377073906486;0.0;
ампула;0.444444444444;0.0;0.0;
ампутация;1.33333333333;0.0;0.0593683210639;
анатомический;0.444444444444;0.0;0.0;
антоновка;0.0;0.754147812971;0.0;
антоновский;0.0;0.754147812971;0.0593683210639;
аристократически;0.0;0.377073906486;0.0;
арсений;0.0;0.377073906486;0.118736642128;
арсения;0.0;0.377073906486;0.178104963192;
артериа;0.888888888889;0.0;0.0;
ах;1.77777777778;0.0;0.178104963192;
баба;0.888888888889;0.0;0.118736642128;
бабочка;0.0;0.377073906486;0.0;
бабушка;0.0;0.377073906486;0.0;
бал;0.444444444444;0.0;0.0593683210639;
баня;0.444444444444;0.0;0.0;
барабан;0.0;1.50829562594;0.0;
баранина;0.0;0.377073906486;0.0;
барин;0.0;1.88536953243;0.0;
баритон;0.0;0.377073906486;0.0;
барский;0.0;0.377073906486;0.0;
бархатный;0.0;0.377073906486;0.0;
барчук;0.0;0.377073906486;0.0593683210639;
барыня;0.0;0.377073906486;0.0;
бас;0.0;0.377073906486;0.0;
батюшка;0.444444444444;0.0;0.356209926383;
батюшков;0.0;0.377073906486;0.0;
бегать;0.0;0.377073906486;0.118736642128;
беда;0.0;0.377073906486;0.0593683210639;
бедный;0.444444444444;0.0;0.415578247447;
бедняк;0.444444444444;0.0;0.0;
бедро;0.888888888889;0.0;0.0;
без;2.66666666667;0.0;1.30610306341;
безжизненно;0.444444444444;0.0;0.0;
безжизненный;0.444444444444;0.0;0.0;
беззвучный;0.444444444444;0.0;0.0;
безмолвный;0.0;0.377073906486;0.0;
безнадежно;0.0;0.377073906486;0.0;
безоружный;0.444444444444;0.0;0.0;
безрукавка;0.0;0.377073906486;0.0;
безумный;0.888888888889;0.0;0.118736642128;
белеть;0.0;0.377073906486;0.0;
беловатый;0.444444444444;0.0;0.0;
бель;0.0;0.377073906486;0.0;
береза;0.0;0.377073906486;0.0;
березовый;0.0;0.377073906486;0.0593683210639;
беременный;0.0;0.377073906486;0.0;
беречь;0.0;0.377073906486;0.0593683210639;
беседа;0.0;0.377073906486;0.178104963192;
бесконечный;0.0;0.377073906486;0.0;
