['spro', 'spro', 'v', 'v']
['spro', 'v', 'v', 'spro']
['v', 'v', 'spro', 'v']
['v', 'spro', 'v', 'spro']
['spro', 'v', 'spro', 'pr']
['v', 'spro', 'pr', 'spro']
['spro', 'pr', 'spro', 'v']
['pr', 'spro', 'v', 's']
['spro', 'v', 's', 'pr']
['v', 's', 'pr', 's']
['s', 'pr', 's', 's']
['pr', 's', 's', 'pr']
['s', 's', 'pr', 'spro']
['s', 'pr', 'spro', 'part']
['pr', 'spro', 'part', 'a']
['spro', 'part', 'a', 'a']
['part', 'a', 'a', 'v']
['a', 'a', 'v', 'adv']
['a', 'v', 'adv', 'a']
['v', 'adv', 'a', 's']
['adv', 'a', 's', 'part']
['a', 's', 'part', 'advpro']
['s', 'part', 'advpro', 'part']
['part', 'advpro', 'part', 'adv']
['advpro', 'part', 'adv', 'v']
['part', 'adv', 'v', 'apro']
['adv', 'v', 'apro', 's']
['v', 'apro', 's', 'advpro']
['apro', 's', 'advpro', 'анна']
['s', 'advpro', 'анна', 'николаевна']
['advpro', 'анна', 'николаевна', 'v']
['анна', 'николаевна', 'v', 'pr']
['николаевна', 'v', 'pr', 'apro']
['v', 'pr', 'apro', 's']
['pr', 'apro', 's', 'conj']
['apro', 's', 'conj', 'шепнуть:']
['s', 'conj', 'шепнуть:', 'advpro']
['conj', 'шепнуть:', 'advpro', 's']
['шепнуть:', 'advpro', 's', 'part']
['advpro', 's', 'part', 'v']
['s', 'part', 'v', 'advpro']
['part', 'v', 'advpro', 'part']
['v', 'advpro', 'part', 'v']
['advpro', 'part', 'v', 'advpro']
['part', 'v', 'advpro', 'v']
['v', 'advpro', 'v', 'part']
['advpro', 'v', 'part', 'v']
['v', 'part', 'v', 'conj']
['part', 'v', 'conj', 'adv']
['v', 'conj', 'adv', 'adv']
['conj', 'adv', 'adv', 's']
['adv', 'adv', 's', 'v']
['adv', 's', 'v', 's']
['s', 'v', 's', 's']
['v', 's', 's', 'v']
['s', 's', 'v', 'adv']
['s', 'v', 'adv', 'conj']
['v', 'adv', 'conj', 'pr']
['adv', 'conj', 'pr', 'a']
['conj', 'pr', 'a', 's']
['pr', 'a', 's', 'adv']
['a', 's', 'adv', 'a']
['s', 'adv', 'a', 's']
['adv', 'a', 's', 'conj']
['a', 's', 'conj', 'переплетчик']
['s', 'conj', 'переплетчик', 'apro']
['conj', 'переплетчик', 'apro', 's']
['переплетчик', 'apro', 's', 'v']
['apro', 's', 'v', 'pr']
['s', 'v', 'pr', 'a']
['v', 'pr', 'a', 'сафьянный']
['pr', 'a', 'сафьянный', 's']
['a', 'сафьянный', 's', 'под-рука']
['сафьянный', 's', 'под-рука', 'v']
['s', 'под-рука', 'v', 'юрка']
['под-рука', 'v', 'юрка', 'pr']
['v', 'юрка', 'pr', 'apro']
['юрка', 'pr', 'apro', 'бутка']
['pr', 'apro', 'бутка', 'v']
['apro', 'бутка', 'v', 'pr']
['бутка', 'v', 'pr', 'spro']
['v', 'pr', 'spro', 's']
['pr', 'spro', 's', 's']
['spro', 's', 's', 'пословица:долг']
['s', 's', 'пословица:долг', 's']
['s', 'пословица:долг', 's', 'v']
['пословица:долг', 's', 'v', 'adv']
['s', 'v', 'adv', 'conj']
['v', 'adv', 'conj', 'pr']
['adv', 'conj', 'pr', 'a']
['conj', 'pr', 'a', 's']
['pr', 'a', 's', 'adv']
['a', 's', 'adv', 'a']
['s', 'adv', 'a', 's']
['adv', 'a', 's', 'conj']
['a', 's', 'conj', 'переплетчик']
['s', 'conj', 'переплетчик', 'apro']
['conj', 'переплетчик', 'apro', 's']
['переплетчик', 'apro', 's', 'v']
['apro', 's', 'v', 'pr']
['s', 'v', 'pr', 'a']
['v', 'pr', 'a', 'сафьянный']
['pr', 'a', 'сафьянный', 's']
['a', 'сафьянный', 's', 'под-рука']
['сафьянный', 's', 'под-рука', 'v']
['s', 'под-рука', 'v', 'юрка']
['под-рука', 'v', 'юрка', 'pr']
['v', 'юрка', 'pr', 'apro']
['юрка', 'pr', 'apro', 'бутка']
['pr', 'apro', 'бутка', 'v']
['apro', 'бутка', 'v', 'pr']
['бутка', 'v', 'pr', 'spro']
['v', 'pr', 'spro', 's']
['pr', 'spro', 's', 's']
['spro', 's', 's', 'пословица:']
['s', 's', 'пословица:', 's']
['s', 'пословица:', 's', 's']
['пословица:', 's', 's', 'a']
['s', 's', 'a', 's']
['s', 'a', 's', 'v']
['a', 's', 'v', 'adv']
['s', 'v', 'adv', 's']
['v', 'adv', 's', 'conj']
['adv', 's', 'conj', 'a']
['s', 'conj', 'a', 'spro']
['conj', 'a', 'spro', 'part']
['a', 'spro', 'part', 'spro']
['spro', 'part', 'spro', 'pr']
['part', 'spro', 'pr', 'apro']
['spro', 'pr', 'apro', 's']
['pr', 'apro', 's', 'v']
['apro', 's', 'v', 'spro']
['s', 'v', 'spro', 'adv']
['v', 'spro', 'adv', 'conj']
['spro', 'adv', 'conj', 's']
['adv', 'conj', 's', 'apro']
['conj', 's', 'apro', 'a']
['s', 'apro', 'a', 'apro']
['apro', 'a', 'apro', 'part']
['a', 'apro', 'part', 's']
['apro', 'part', 's', 's']
['part', 's', 's', 's']
['s', 's', 's', 'spro']
['s', 's', 'spro', 'v']
['s', 'spro', 'v', 'басурманин']
['spro', 'v', 'басурманин', 'part']
['v', 'басурманин', 'part', 's']
['басурманин', 'part', 's', 'гаэр']
['part', 's', 'гаэр', 'a']
['s', 'гаэр', 'a', 'v']
['гаэр', 'a', 'v', 'v']
['a', 'v', 'v', 'spro']
['v', 'v', 'spro', 'v']
['v', 'spro', 'v', 'spro']
['spro', 'v', 'spro', 'pr']
['v', 'spro', 'pr', 's']
['spro', 'pr', 's', 'v']
['pr', 's', 'v', 'spro']
['s', 'v', 'spro', 's']
['v', 'spro', 's', 'гора:']
['spro', 's', 'гора:', 'part']
['s', 'гора:', 'part', 'part']
['гора:', 'part', 'part', 'v']
['part', 'part', 'v', 'part']
['part', 'v', 'part', 'spro']
['v', 'part', 'spro', 's']
['part', 'spro', 's', 'v']
['spro', 's', 'v', 'spro']
['s', 'v', 'spro', 'apro']
['v', 'spro', 'apro', 'pr']
['spro', 'apro', 'pr', 'apro']
['apro', 'pr', 'apro', 'работать:']
['pr', 'apro', 'работать:', 's']
['apro', 'работать:', 's', 's']
['работать:', 's', 's', 'spro']
['s', 's', 'spro', 'spro']
['s', 'spro', 'spro', 's']
['spro', 'spro', 's', 'v']
['spro', 's', 'v', 's']
['s', 'v', 's', 'apro']
['v', 's', 'apro', 'pr']
['s', 'apro', 'pr', 'apro']
['apro', 'pr', 'apro', 's']
['pr', 'apro', 's', 'разувать']
['apro', 's', 'разувать', 'spro']
['s', 'разувать', 'spro', 'spro']
['разувать', 'spro', 'spro', 'spro']
['spro', 'spro', 'spro', 'spro']
['spro', 'spro', 'spro', 'v']
['spro', 'spro', 'v', 'v']
['spro', 'v', 'v', 'v']
['v', 'v', 'v', 's']
['v', 'v', 's', 'pr']
['v', 's', 'pr', 'новоселие']
['s', 'pr', 'новоселие', 'apro']
['pr', 'новоселие', 'apro', 's']
['новоселие', 'apro', 's', 'intj']
['apro', 's', 'intj', 'v']
['s', 'intj', 'v', 'v']
['intj', 'v', 'v', 'адриян']
['v', 'v', 'адриян', 'conj']
