 	a	adv	advpro	anum	apro	conj	intj	num	part	pr	s	s.PROP	spro	v	SUM	1,00%	a	s	v
NONS1	33	8	2	0	5	10	0	1	5	26	73	0	2	22	187	1,87	17,6470588235	39,0374331551	11,7647058824
NONS2	1	0	1	0	1	1	0	0	0	1	3	0	1	3	12	0,12	8,3333333333	25	25
NONS3	10	5	0	0	2	11	0	3	3	16	36	0	3	13	102	1,02	9,8039215686	35,2941176471	12,7450980392
NONS4	0	1	0	0	0	0	1	0	2	1	7	0	1	4	17	0,17	0	41,1764705882	23,5294117647
NONS5	1	3	0	0	1	3	0	1	5	1	5	1	2	7	30	0,3	3,3333333333	16,6666666667	23,3333333333
NONS6	21	18	1	0	3	13	0	0	3	19	55	0	5	30	168	1,68	12,5	32,7380952381	17,8571428571
NONS7	13	19	1	0	5	16	0	0	8	26	75	0	5	35	203	2,03	6,4039408867	36,9458128079	17,2413793103
NONS8	2	1	0	0	0	0	0	1	2	3	8	0	0	3	20	0,2	10	40	15
NONS9	23	3	2	0	3	16	0	2	9	32	64	4	5	31	194	1,94	11,8556701031	32,9896907216	15,9793814433
NONS10	33	7	4	0	10	16	0	1	11	32	91	4	17	38	264	2,64	12,5	34,4696969697	14,3939393939
NONS11	11	4	1	0	0	7	0	0	1	3	21	0	4	7	59	0,59	18,6440677966	35,593220339	11,8644067797
NONS12	2	2	0	0	0	2	0	0	1	3	8	0	0	3	21	0,21	9,5238095238	38,0952380952	14,2857142857
NONS13	5	3	1	0	1	2	0	0	5	5	14	0	0	8	44	0,44	11,3636363636	31,8181818182	18,1818181818
NONS14	26	12	1	0	6	10	0	2	7	17	41	2	2	20	146	1,46	17,8082191781	28,0821917808	13,698630137
NONS15	4	1	0	0	8	4	0	1	4	9	36	4	2	7	80	0,8	5	45	8,75
NONS16	5	0	0	0	0	2	0	0	1	1	6	0	1	3	19	0,19	26,3157894737	31,5789473684	15,7894736842
NONS17	25	7	2	1	11	15	0	1	6	31	73	0	8	32	212	2,12	11,7924528302	34,4339622642	15,0943396226
NONS18	26	9	7	0	2	12	0	0	5	18	54	0	7	14	154	1,54	16,8831168831	35,0649350649	9,0909090909
NONS19	20	3	1	0	6	15	0	0	5	12	54	9	5	11	141	1,41	14,1843971631	38,2978723404	7,8014184397
NONS20	40	17	5	0	11	22	0	2	7	30	77	2	10	40	263	2,63	15,2091254753	29,2775665399	15,2091254753
NONS21	7	1	0	0	3	2	0	0	2	4	14	3	3	9	48	0,48	14,5833333333	29,1666666667	18,75
NONS22	37	16	1	0	5	22	0	1	9	40	83	1	17	46	278	2,78	13,309352518	29,8561151079	16,5467625899
NONS23	11	6	3	0	2	6	1	1	2	22	44	1	6	23	128	1,28	8,59375	34,375	17,96875
NONS24	3	2	0	0	0	0	0	0	2	2	8	0	0	4	21	0,21	14,2857142857	38,0952380952	19,0476190476
NONS25	3	4	1	0	2	3	0	0	1	8	16	1	3	13	55	0,55	5,4545454545	29,0909090909	23,6363636364
NONS26	1	1	1	0	1	2	0	0	1	4	9	0	1	10	31	0,31	3,2258064516	29,0322580645	32,2580645161
NONS27	6	7	0	1	1	10	0	0	1	11	38	1	6	18	100	1	6	38	18
NONS28	8	3	0	1	2	1	0	0	4	11	28	0	1	10	69	0,69	11,5942028986	40,5797101449	14,4927536232
																	11,2910206314	33,9198570206	16,6896621834
