 	'(''a'', ''conj'', ''a'', ''s'')'	'(''a'', ''s'', ''a'', ''s'')'	'(''a'', ''s'', ''pr'', ''a'')'	'(''a'', ''s'', ''pr'', ''s'')'	'(''a'', ''s'', ''v'', ''pr'')'	'(''a'', ''s'', ''v'', ''s'')'	'(''pr'', ''a'', ''a'', ''s'')'	'(''pr'', ''s'', ''a'', ''s'')'	'(''pr'', ''s'', ''pr'', ''s'')'	'(''pr'', ''s'', ''v'', ''s'')'	'(''s'', ''conj'', ''v'', ''pr'')'	'(''s'', ''conj'', ''v'', ''s'')'	'(''s'', ''pr'', ''a'', ''s'')'	'(''s'', ''pr'', ''s'', ''conj'')'	'(''s'', ''pr'', ''s'', ''s'')'	'(''s'', ''pr'', ''s'', ''v'')'	'(''s'', ''s'', ''pr'', ''s'')'	'(''s'', ''s'', ''s'', ''s'')'	'(''s'', ''s'', ''v'', ''pr'')'	'(''s'', ''s'', ''v'', ''spro'')'	'(''s'', ''spro'', ''part'', ''v'')'	'(''s'', ''spro'', ''v'', ''pr'')'	'(''s'', ''v'', ''a'', ''s'')'	'(''s'', ''v'', ''pr'', ''s'')'	'(''s'', ''v'', ''s'', ''s'')'	'(''spro'', ''v'', ''pr'', ''s'')'	'(''v'', ''pr'', ''a'', ''s'')'	'(''v'', ''pr'', ''s'', ''conj'')'	'(''v'', ''pr'', ''s'', ''s'')'	'(''v'', ''s'', ''conj'', ''v'')'	'(''v'', ''s'', ''pr'', ''s'')'	'(''v'', ''s'', ''s'', ''v'')'	'(''v'', ''s'', ''spro'', ''v'')'	'(''v'', ''spro'', ''v'', ''s'')'
S1	0	2	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
S2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0
S3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S5	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
S6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0
S7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
S8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1
S10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S11	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
S12	2	0	1	2	1	1	0	3	0	1	1	2	1	2	2	2	2	1	1	1	2	2	0	3	1	1	1	3	0	0	2	0	0	0
S13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
S15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0
S17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S18	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
S19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S20	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	1	1	0	0	6	4
S21	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
S22	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0
S23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0
S25	0	0	0	1	0	0	0	0	2	0	0	0	1	0	2	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
S26	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
S27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
S28	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
S29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S30	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
S31	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
S32	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
S33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
S35	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0
S36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
